entry_price,exit_price,entry_bar,exit_bar,duration_bars,exit_reason,max_roe_pct,max_sl_pct,gross_pnl_pct,fee_pct,net_pnl_pct,net_profit_usd,is_win,symbol,strategy_mode,trade_type,direction,signal_bar,signal_datetime
70663.8,72195.9,10393,10410,18,REVERSE_SIGNAL,2.344,0.274,2.168,0.1,2.068,20.68,True,BTCUSDT,2,FADE,BUY,10392,2026-04-09 14:20:00
72195.9,71410.0,10411,10602,192,REVERSE_SIGNAL,1.127,1.291,1.089,0.1,0.989,9.89,True,BTCUSDT,2,FADE,SELL,10410,2026-04-09 15:50:00
71410.0,72200.2,10603,10647,45,REVERSE_SIGNAL,1.147,0.021,1.107,0.1,1.007,10.07,True,BTCUSDT,2,FADE,BUY,10602,2026-04-10 07:50:00
72200.2,72680.8,10648,10901,254,REVERSE_SIGNAL,0.459,1.731,-0.666,0.1,-0.766,-7.66,False,BTCUSDT,2,FADE,SELL,10647,2026-04-10 11:35:00
72680.8,73120.6,10902,11006,105,REVERSE_SIGNAL,0.687,0.315,0.605,0.1,0.505,5.05,True,BTCUSDT,2,FADE,BUY,10901,2026-04-11 08:45:00
73120.6,72683.2623,11007,11102,96,SL,0.893,0.77,-0.598,0.1,-0.698,-6.98,False,BTCUSDT,2,TREND,BUY,11006,2026-04-11 17:30:00
72196.2,71623.0,11104,11539,436,REVERSE_SIGNAL,0.005,2.407,-0.794,0.1,-0.894,-8.94,False,BTCUSDT,2,FADE,BUY,11103,2026-04-12 01:35:00
71623.0,74176.5,11540,11899,360,REVERSE_SIGNAL,6.124,0.414,3.565,0.1,3.465,34.65,True,BTCUSDT,2,TREND,BUY,11539,2026-04-13 13:55:00
74176.5,74603.2,11900,12179,280,REVERSE_SIGNAL,0.759,0.981,0.575,0.1,0.475,4.75,True,BTCUSDT,2,FADE,BUY,11899,2026-04-14 19:55:00
74603.2,74415.4,12180,12361,182,REVERSE_SIGNAL,1.102,0.463,-0.252,0.1,-0.352,-3.52,False,BTCUSDT,2,TREND,BUY,12179,2026-04-15 19:15:00
74415.4,75337.7,12362,12474,113,REVERSE_SIGNAL,1.287,1.557,1.239,0.1,1.139,11.39,True,BTCUSDT,2,FADE,BUY,12361,2026-04-16 10:25:00
