trade_idx,datetime,symbol,trade_type,direction,entry_price,exit_price,exit_reason,duration_bars,pos_size_usd,leverage_used,sl_pct,net_pnl_pct,pnl_usd,is_win,equity_after,drawdown_pct
1044,2026-06-11 04:15:00,APTUSDT,TREND,BUY,0.6376,0.624,SL,97,147981.5015469382,0.42789901583226353,2.337,-2.239,-3313.3058196359466,False,342519.4632955587,0.9580658964484303
1045,2026-06-11 04:55:00,NEARUSDT,TREND,BUY,2.055,2.0961,TP,195,71822.07240418509,0.20968756552736423,4.769,1.9,1364.6193756795167,True,343884.0826712382,0.563476517549816
1046,2026-06-11 05:25:00,FETUSDT,TREND,BUY,0.1893,0.1846,REVERSE_SIGNAL,125,122815.74381115653,0.3571428571428572,2.8,-2.583,-3172.3306626421736,False,340711.752008596,1.4807784466754264
1047,2026-06-11 15:50:00,FETUSDT,FADE,BUY,0.1832,0.1869,TP,7,227141.1680057307,0.6666666666666667,1.5,1.93,4383.8245425106015,True,345095.57655110664,0.21316446268931333
1048,2026-06-11 17:20:00,APTUSDT,TREND,SELL,0.6216,0.6434,SL,5,78005.32923849608,0.22603978300180833,4.424,-3.6,-2808.191852585859,False,342287.38469852076,1.0251730701357893
1049,2026-06-11 17:20:00,XRPUSDT,FADE,BUY,1.1051,1.1272,TP,2,228191.58979901386,0.6666666666666667,1.5,1.93,4404.097683120967,True,346691.48238164175,0.0
1050,2026-06-11 18:00:00,ETHUSDT,FADE,SELL,1684.144,1653.26,REVERSE_SIGNAL,149,231127.6549210945,0.6666666666666667,1.5,1.764,4077.091832808107,True,350768.57421444985,0.0
1051,2026-06-11 18:00:00,XRPUSDT,FADE,SELL,1.1489,1.1289,REVERSE_SIGNAL,136,233845.71614296656,0.6666666666666666,1.5,1.667,3898.2080881032525,True,354666.7823025531,0.0
1052,2026-06-11 18:45:00,FETUSDT,TREND,BUY,0.1927,0.1882,REVERSE_SIGNAL,142,115828.47233917477,0.32658393207054215,3.062,-2.435,-2820.423301458906,False,351846.35900109424,0.7952318745917637
1053,2026-06-11 19:15:00,INJUSDT,TREND,BUY,5.328,5.4346,TP,23,234564.23933406285,0.6666666666666667,1.5,1.9,4456.720547347194,True,356303.07954844146,0.0
1054,2026-06-12 06:25:00,BNBUSDT,FADE,BUY,597.0325,605.08,REVERSE_SIGNAL,28,237535.38636562767,0.6666666666666667,1.5,1.278,3035.7022377527214,True,359338.7817861942,0.0
1055,2026-06-12 06:35:00,APTUSDT,TREND,SELL,0.6361,0.6562,SL,35,110975.53483205504,0.30883261272390367,3.238,-3.257,-3614.473169480033,False,355724.30861671414,1.0058678196417572
1056,2026-06-12 06:35:00,BTCUSDT,FADE,BUY,62910.3,63873.6,REVERSE_SIGNAL,35,237149.53907780943,0.6666666666666666,1.5,1.461,3464.754765926796,True,359189.06338264095,0.041664972205066104
1057,2026-06-12 06:45:00,ARBUSDT,TREND,SELL,0.0821,0.084,REVERSE_SIGNAL,29,152069.88288850166,0.4233700254022015,2.362,-2.426,-3689.2153588750502,False,355499.8480237659,1.0683327147005384
1058,2026-06-12 06:50:00,RENDERUSDT,FADE,BUY,1.612,1.6442,TP,18,236999.8986825106,0.6666666666666666,1.5,1.93,4574.098044572454,True,360073.94606833835,0.0
1059,2026-06-12 09:10:00,ARBUSDT,TREND,BUY,0.084,0.0857,TP,267,140763.8569461839,0.3909304143862393,2.558,1.9,2674.513281977494,True,362748.45935031585,0.0
1060,2026-06-12 09:15:00,ETHUSDT,FADE,SELL,1684.144,1661.59,REVERSE_SIGNAL,156,241832.3062335439,0.6666666666666666,1.5,1.269,3068.851966103672,True,365817.3113164195,0.0
1061,2026-06-12 09:40:00,APTUSDT,TREND,BUY,0.661,0.6397,REVERSE_SIGNAL,157,107942.55276377089,0.29507229271171437,3.389,-3.322,-3585.8516028124686,False,362231.45971360704,0.9802301563883162
1062,2026-06-12 09:40:00,LINKUSDT,FADE,SELL,7.9318,7.911,REVERSE_SIGNAL,518,229550.98841166476,0.6337135614702154,1.5780000000000003,0.193,443.033407634513,True,362674.49312124157,0.8591223263514476
1063,2026-06-12 09:45:00,TIAUSDT,TREND,BUY,0.3287,0.3353,TP,38,241782.99541416107,0.6666666666666667,1.5,1.9,4593.87691286906,True,367268.3700341106,0.0
1064,2026-06-12 11:30:00,INJUSDT,TREND,SELL,5.364,5.2567,TP,26,244845.5800227404,0.6666666666666666,1.5,1.9,4652.0660204320675,True,371920.43605454266,0.0
1065,2026-06-12 13:55:00,XRPUSDT,FADE,BUY,1.129,1.1516,TP,13,247946.95736969513,0.6666666666666667,1.5,1.93,4785.376277235116,True,376705.81233177776,0.0
1066,2026-06-12 17:10:00,NEARUSDT,TREND,SELL,2.058,2.0168,TP,31,251137.2082211852,0.6666666666666667,1.5,1.9,4771.606956202519,True,381477.4192879803,0.0
1067,2026-06-12 22:10:00,BNBUSDT,FADE,BUY,603.025,605.67,REVERSE_SIGNAL,147,254318.27952532022,0.6666666666666667,1.5,0.369,938.4344514484317,True,382415.85373942874,0.0
1068,2026-06-12 22:25:00,SOLUSDT,FADE,BUY,66.43,67.34,REVERSE_SIGNAL,127,152966.34149577148,0.39999999999999997,2.5,1.3,1988.5624394450294,True,384404.4161788738,0.0
1069,2026-06-12 23:25:00,TIAUSDT,FADE,BUY,0.3207,0.3272,TP,27,256269.6107859159,0.6666666666666667,1.5,1.93,4946.003488168176,True,389350.419667042,0.0
1070,2026-06-13 03:55:00,APTUSDT,FADE,SELL,0.6567,0.6731,SL,36,132477.17579688397,0.3402517863218782,2.939,-2.57,-3404.6634179799175,False,385945.7562490621,0.8744470908472224
1071,2026-06-13 06:40:00,TIAUSDT,TREND,BUY,0.3304,0.337,TP,9,257297.17083270807,0.6666666666666667,1.5,1.9,4888.646245821453,True,390834.4024948835,0.0
1072,2026-06-13 07:35:00,FETUSDT,TREND,BUY,0.19,0.1938,TP,30,260556.26832992237,0.6666666666666667,1.5,1.9,4950.569098268525,True,395784.97159315203,0.0
1073,2026-06-13 07:45:00,INJUSDT,TREND,BUY,5.295,5.144,REVERSE_SIGNAL,254,132635.71434086864,0.3351206434316354,2.984,-2.952,-3915.4062873424423,False,391869.5653058096,0.9892761394101837
1074,2026-06-13 12:10:00,NEARUSDT,TREND,BUY,2.045,2.0859,TP,36,261246.37687053974,0.6666666666666666,1.5,1.9,4963.6811605402545,True,396833.24646634987,0.0
1075,2026-06-14 01:00:00,OPUSDT,TREND,SELL,0.1056,0.1089,REVERSE_SIGNAL,248,123240.13865414592,0.3105590062111801,3.2199999999999998,-3.225,-3974.494471596206,False,392858.75199475366,1.0015527950310557
1076,2026-06-14 01:15:00,SEIUSDT,TREND,SELL,0.0536,0.0525,TP,159,261905.83466316914,0.6666666666666667,1.5,1.9,4976.210858600213,True,397834.9628533539,0.0
1077,2026-06-14 04:55:00,INJUSDT,FADE,BUY,5.116,4.9881,SL,114,149674.5533684552,0.37622272385252076,2.658,-2.57,-3846.6360215692985,False,393988.32683178457,0.9668924003009819
1078,2026-06-14 07:00:00,BTCUSDT,FADE,BUY,64238.3,64762.2,REVERSE_SIGNAL,172,262658.88455452304,0.6666666666666666,1.5,0.746,1959.4352787767418,True,395947.7621105613,0.4743677451718121
1079,2026-06-14 07:30:00,XRPUSDT,FADE,BUY,1.1433,1.1583,REVERSE_SIGNAL,166,259637.87679381072,0.6557377049180328,1.525,1.239,3216.913293475315,True,399164.67540403665,0.0
1080,2026-06-14 12:45:00,NEARUSDT,TREND,SELL,2.09,2.1342,SL,102,122668.92298833333,0.3073140749846343,3.254,-2.215,-2717.1166441915834,False,396447.5587598451,0.6807006760909581
1081,2026-06-14 12:55:00,FETUSDT,TREND,SELL,0.2046,0.2005,TP,16,264298.37250656344,0.6666666666666667,1.5,1.9,5021.669077624705,True,401469.2278374698,0.0
1082,2026-06-14 13:35:00,RENDERUSDT,TREND,SELL,1.731,1.788,REVERSE_SIGNAL,96,117802.00347343597,0.2934272300469484,3.408,-3.393,-3997.0219778536816,False,397472.2058596161,0.9955985915492926
