symbol,direction,signal_datetime,entry_price,max_roe_pct,max_stoploss_pct,duration_bars,atr_pct,trail_gap_pct,is_low_volatility,is_tight_gap,has_counter_fvg,has_recent_choch,has_recent_bos,quick_loss_under_10_bars
LINKUSDT,SELL,2026-05-24 21:15:00,9.353,1.187,3.036,70,0.31,0.621,True,False,False,False,False,False
LINKUSDT,BUY,2026-05-30 01:30:00,9.161,1.626,1.648,158,0.435,0.872,False,False,False,False,False,False
LINKUSDT,BUY,2026-06-22 12:15:00,8.113,0.493,3.784,68,0.452,0.905,False,False,False,False,False,False
LINKUSDT,BUY,2026-06-25 07:45:00,7.532,0.013,7.05,24,0.378,0.755,False,False,False,False,False,False
LINKUSDT,BUY,2026-06-27 01:15:00,7.355,1.604,1.536,104,0.4,0.799,False,False,False,False,False,False
LINKUSDT,BUY,2026-07-05 22:15:00,8.124,0.308,4.53,66,0.382,0.763,False,False,True,False,False,False
LINKUSDT,BUY,2026-07-30 12:15:00,8.464,0.874,2.623,86,0.354,0.709,False,False,False,False,False,False
LINKUSDT,BUY,2026-08-06 18:00:00,8.305,1.108,2.456,315,0.477,0.954,False,False,False,False,False,False
LINKUSDT,SELL,2026-08-10 00:45:00,8.183,0.22,3.422,100,0.412,0.824,False,False,False,False,False,False
NEARUSDT,SELL,2025-10-21 04:00:00,2.197,1.593,6.782,44,0.614,1.224,False,False,False,False,False,False
NEARUSDT,BUY,2025-10-21 15:00:00,2.337,1.113,6.333,60,1.061,2.126,False,False,False,False,False,False
NEARUSDT,BUY,2025-10-29 14:00:00,2.311,1.558,5.193,80,0.541,1.086,False,False,False,False,False,False
NEARUSDT,BUY,2025-11-20 00:00:00,2.368,1.858,9.797,67,1.347,2.694,False,False,False,False,False,False
NEARUSDT,BUY,2025-12-07 20:45:00,1.767,1.981,4.754,147,0.696,1.393,False,False,False,False,False,False
NEARUSDT,SELL,2025-12-09 09:30:00,1.711,0.058,7.656,25,0.543,1.086,False,False,True,False,False,False
NEARUSDT,BUY,2025-12-13 10:45:00,1.676,0.477,3.043,82,0.424,0.847,False,False,False,False,False,False
NEARUSDT,SELL,2025-12-18 21:30:00,1.425,1.474,8.491,76,1.467,2.933,False,False,False,False,False,False
NEARUSDT,BUY,2025-12-19 16:30:00,1.542,1.167,4.929,180,0.94,1.887,False,False,False,False,False,False
NEARUSDT,SELL,2025-12-21 13:30:00,1.468,1.022,5.109,68,0.694,1.389,False,False,True,False,False,False
NEARUSDT,SELL,2025-12-26 00:00:00,1.436,0.418,7.382,14,0.717,1.435,False,False,False,False,False,False
NEARUSDT,BUY,2026-01-12 03:00:00,1.763,0.34,5.842,40,0.891,1.775,False,False,False,False,False,False
NEARUSDT,SELL,2026-01-12 13:00:00,1.662,1.143,5.475,80,0.686,1.371,False,False,False,False,False,False
NEARUSDT,BUY,2026-02-02 16:30:00,1.232,0.325,6.575,100,0.885,1.778,False,False,False,False,False,False
NEARUSDT,BUY,2026-02-09 23:15:00,1.032,0.484,4.845,33,0.746,1.502,False,False,True,False,False,False
NEARUSDT,SELL,2026-03-30 18:15:00,1.163,1.29,3.439,90,0.568,1.136,False,False,False,False,False,False
NEARUSDT,SELL,2026-04-05 20:15:00,1.231,0.731,3.574,25,0.463,0.926,False,False,False,False,False,False
NEARUSDT,SELL,2026-04-23 04:45:00,1.383,1.012,2.386,102,0.434,0.876,False,False,False,False,False,False
NEARUSDT,BUY,2026-04-29 06:00:00,1.367,0.366,3.804,40,0.351,0.702,False,False,False,False,False,False
NEARUSDT,BUY,2026-05-17 07:30:00,1.533,1.696,4.631,97,0.522,1.044,False,False,False,False,False,False
NEARUSDT,SELL,2026-05-18 07:45:00,1.483,0.405,7.215,49,0.687,1.368,False,False,False,False,False,False
NEARUSDT,SELL,2026-05-20 02:45:00,1.583,0.253,5.559,17,0.581,1.156,False,False,True,False,False,False
NEARUSDT,SELL,2026-07-04 10:30:00,1.959,1.94,4.441,143,0.536,1.072,False,False,False,False,True,False
NEARUSDT,BUY,2026-07-26 23:45:00,1.837,1.198,3.647,65,0.452,0.904,False,False,False,False,False,False
NEARUSDT,SELL,2026-08-16 01:00:00,1.613,1.922,1.984,115,0.31,0.62,True,False,False,False,False,False
NEARUSDT,BUY,2026-08-17 05:45:00,1.634,1.958,3.121,159,0.398,0.795,False,False,False,False,False,False
