symbol,orig_direction,rev_direction,signal_index,entry_index,entry_price,exit_price,duration_bars,rev_max_roe_pct,rev_max_sl_pct,rev_net_pnl_pct,rev_label
BNBUSDT,SELL,BUY,18729,18730,616.75,620.96,186,1.041,1.047,0.683,lose
BNBUSDT,SELL,BUY,18987,18988,616.07,618.57,59,0.997,0.174,0.406,lose
BNBUSDT,SELL,BUY,19524,19525,634.27,647.99,83,2.486,0.076,2.163,win
BNBUSDT,BUY,SELL,19606,19607,648.15,648.01,131,0.455,1.308,0.022,lose
BNBUSDT,SELL,BUY,19978,19979,653.7,667.44,25,2.264,0.415,2.102,win
BNBUSDT,BUY,SELL,20174,20175,684.33,672.62,123,2.179,0.909,1.711,win
BNBUSDT,BUY,SELL,21047,21048,653.26,659.25,219,0.499,3.1,-0.917,lose
BNBUSDT,SELL,BUY,21265,21266,657.93,648.62,383,1.607,4.485,-1.415,lose
BNBUSDT,SELL,BUY,22660,22661,586.12,601.47,169,3.03,0.891,2.619,win
BNBUSDT,SELL,BUY,23162,23163,603.1,616.74,13,2.409,0.002,2.262,win
BNBUSDT,SELL,BUY,23327,23328,605.57,586.84,359,1.21,5.76,-3.093,lose
BNBUSDT,BUY,SELL,24175,24176,568.81,554.18,19,4.977,0.079,2.572,win
BNBUSDT,BUY,SELL,24606,24607,561.02,550.32,48,1.962,0.216,1.907,lose
BNBUSDT,SELL,BUY,24653,24654,550.35,551.62,140,1.067,2.369,0.231,lose
BNBUSDT,SELL,BUY,25246,25247,571.22,587.42,41,3.743,0.13,2.836,win
BNBUSDT,BUY,SELL,25286,25287,588.98,578.8,49,2.088,0.003,1.728,win
BNBUSDT,SELL,BUY,25334,25335,577.82,574.44,176,1.67,2.984,-0.585,lose
BNBUSDT,SELL,BUY,25771,25772,572.36,581.52,51,2.221,0.37,1.6,win
BNBUSDT,BUY,SELL,25821,25822,582.76,578.71,45,1.654,0.079,0.695,lose
BNBUSDT,SELL,BUY,25865,25866,574.13,580.82,151,1.458,2.022,1.165,lose
BNBUSDT,BUY,SELL,26015,26016,579.92,576.3,212,0.936,1.107,0.624,lose
BNBUSDT,BUY,SELL,26411,26412,570.49,566.4,160,1.311,0.687,0.717,lose
BNBUSDT,SELL,BUY,26570,26571,566.6,573.11,42,1.603,0.344,1.149,lose
BNBUSDT,SELL,BUY,26754,26755,569.69,568.31,333,1.078,2.382,-0.242,lose
BNBUSDT,BUY,SELL,27086,27087,567.63,566.37,220,0.43,1.756,0.222,lose
BNBUSDT,SELL,BUY,27305,27306,566.56,572.19,100,1.684,0.718,0.994,lose
BNBUSDT,BUY,SELL,27404,27405,573.38,582.65,327,1.371,4.05,-1.617,lose
BNBUSDT,BUY,SELL,27805,27806,585.26,593.95,373,0.654,3.557,-1.485,lose
BNBUSDT,SELL,BUY,28177,28178,594.34,593.73,206,0.739,1.471,-0.103,lose
BNBUSDT,SELL,BUY,28909,28910,607.59,611.85,145,0.933,0.739,0.701,lose
BNBUSDT,SELL,BUY,29135,29136,607.67,612.83,343,0.877,1.233,0.849,lose
BNBUSDT,SELL,BUY,29823,29824,683.8,706.74,64,3.371,0.409,3.355,win
BNBUSDT,BUY,SELL,29886,29887,704.28,709.88,113,1.569,1.864,-0.795,lose
BTCUSDT,BUY,SELL,281,282,107730.6,107845.2,163,0.388,3.638,-0.106,lose
BTCUSDT,SELL,BUY,443,444,108181.9,113267.0,45,4.72,0.723,4.701,win
BTCUSDT,SELL,BUY,525,526,107930.1,109330.0,147,2.173,1.454,1.297,win
BTCUSDT,BUY,SELL,1433,1434,110375.7,108207.5,255,2.243,0.777,1.964,win
BTCUSDT,BUY,SELL,2139,2140,103145.0,101914.2,148,1.789,0.897,1.193,lose
BTCUSDT,BUY,SELL,3200,3201,92591.1,90913.6,36,2.835,0.874,1.812,win
BTCUSDT,BUY,SELL,3317,3318,92556.0,87855.5,56,5.517,0.642,5.079,win
BTCUSDT,SELL,BUY,3925,3926,86916.1,90297.0,30,3.965,0.754,3.89,win
BTCUSDT,BUY,SELL,5012,5013,91337.3,90232.6,88,2.679,1.013,1.209,win
BTCUSDT,SELL,BUY,5099,5100,90249.7,94203.7,97,4.482,0.976,4.381,win
BTCUSDT,BUY,SELL,5409,5410,92823.6,89996.8,76,3.657,0.372,3.045,win
BTCUSDT,SELL,BUY,5484,5485,89602.7,87728.6,405,1.133,5.055,-2.092,lose
BTCUSDT,BUY,SELL,6051,6052,88488.4,85469.8,38,4.611,0.954,3.411,win
BTCUSDT,SELL,BUY,6484,6485,88229.0,88287.7,248,0.414,2.124,0.067,lose
BTCUSDT,SELL,BUY,6826,6827,86980.1,87830.0,164,1.123,0.253,0.977,lose
BTCUSDT,BUY,SELL,6989,6990,87771.1,87743.6,105,0.42,2.965,0.031,lose
BTCUSDT,SELL,BUY,7093,7094,87747.2,88918.9,117,1.571,1.125,1.335,lose
BTCUSDT,SELL,BUY,7311,7312,87588.4,88347.0,114,1.013,0.456,0.866,lose
BTCUSDT,SELL,BUY,7890,7891,91784.2,91074.7,467,2.223,2.77,-0.773,win
BTCUSDT,BUY,SELL,8356,8357,90987.1,90888.0,98,1.012,1.65,0.109,lose
BTCUSDT,BUY,SELL,8520,8521,91908.8,95545.3,249,0.227,6.554,-3.957,lose
BTCUSDT,SELL,BUY,8768,8769,95453.9,90486.3,757,0.402,8.641,-5.204,lose
BTCUSDT,SELL,BUY,9610,9611,89207.3,88584.1,236,0.266,3.571,-0.699,lose
BTCUSDT,BUY,SELL,9845,9846,88785.7,88124.9,199,1.712,2.035,0.744,lose
BTCUSDT,BUY,SELL,10539,10540,78846.7,74882.4,38,5.076,0.257,5.028,win
BTCUSDT,SELL,BUY,11127,11128,68832.9,68686.8,401,3.272,5.451,-0.212,win
BTCUSDT,BUY,SELL,11527,11528,68864.1,68858.7,192,0.783,3.012,0.008,lose
BTCUSDT,BUY,SELL,12167,12168,67910.6,67756.1,225,2.212,1.143,0.228,win
BTCUSDT,SELL,BUY,12391,12392,67574.2,66206.6,235,0.334,7.655,-2.024,lose
BTCUSDT,BUY,SELL,15164,15165,70680.5,69149.4,115,2.273,1.569,2.166,win
BTCUSDT,BUY,SELL,15331,15332,71195.8,69893.1,103,2.069,1.129,1.83,win
BTCUSDT,BUY,SELL,15659,15660,67038.9,66543.3,267,3.163,1.996,0.739,win
BTCUSDT,SELL,BUY,15925,15926,66329.4,68271.4,51,3.423,0.188,2.928,win
BTCUSDT,SELL,BUY,16088,16089,66571.4,67170.0,233,1.245,1.345,0.899,lose
BTCUSDT,BUY,SELL,16320,16321,67209.9,66802.2,96,0.944,0.513,0.607,lose
BTCUSDT,SELL,BUY,16602,16603,68243.0,71479.9,43,4.773,0.78,4.743,win
